Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
1999,Jul,7144,7145,14289,2.9,1330977,1369445,2700422,10.6,70096,95223,165319,73.6
1999,Aug,7174,7169,14343,-0.3,1408157,1339286,2747443,5.5,65910,96744,162654,34.9
1999,Sep,6803,6805,13608,-0.3,1113918,1153682,2267600,7,69492,104617,174108,24.8
1999,Oct,7266,7264,14530,2,1316375,1277962,2594337,7.2,80596,119429,200025,29.5
1999,Nov,7078,7081,14159,5.1,1235095,1217614,2452709,13.7,77657,125220,202877,28.8
1999,Dec,7315,7295,14610,3.5,1234434,1213548,2447982,1,82560,112188,194749,31.5
2000,Jan,6908,6926,13834,1.6,1125875,1166816,2292691,6.5,71559,90464,162022,21.3
2000,Feb,7010,7014,14024,6,1305123,1233741,2538864,8.4,61923,74265,136187,16.1
2000,Mar,7306,7306,14612,5.7,1252303,1260248,2512551,9.2,80416,114821,195237,24.4
2000,Apr,7445,7445,14890,6.4,1433209,1445557,2878766,15.7,79007,107336,186342,19.4
2000,May,7531,7538,15069,8.4,1330375,1322463,2652838,14.3,77890,103515,181405,14
2000,Jun,7318,7321,14639,10.3,1310638,1320560,2631198,17.2,79055,101523,180578,19.1
2000,Jul,7758,7737,15495,8.4,1450450,1484304,2934754,8.7,81179,107739,188918,14.3
2000,Aug,7928,7938,15866,10.6,1525680,1452082,2977762,8.4,79036,109116,188152,15.7
2000,Sep,7761,7765,15526,14.1,1315969,1376089,2692058,18.7,85060,117433,202494,16.3
2000,Oct,8116,8087,16203,11.5,1429783,1379342,2809125,8.3,84840,125315,210155,5.1
2000,Nov,7803,7816,15619,10.3,1274250,1247394,2521644,2.8,85296,129237,214533,5.7
2000,Dec,8065,8076,16141,10.5,1358410,1330051,2688461,9.8,87253,107309,194562,-0.1
2001,Jan,8228,8229,16457,19,1331381,1419393,2750774,20,65479,77491,142970,-11.8
2001,Feb,7091,7098,14189,1.2,1175217,1090521,2265738,-10.8,70601,80263,150864,10.8
2001,Mar,8170,8169,16339,11.8,1416898,1416302,2833200,12.8,81772,106799,188571,-3.4
2001,Apr,8327,8322,16649,11.8,1425368,1473037,2898405,0.7,74299,90546,164845,-11.5
2001,May,8410,8402,16812,11.6,1356892,1323266,2680158,1,73159,85913,159071,-12.3
2001,Jun,8227,8233,16460,12.4,1358268,1393481,2751749,4.6,75419,88867,164286,-9
2001,Jul,8379,8368,16747,8.1,1389017,1408658,2797675,-4.7,72311,89937,162248,-14.1
2001,Aug,8602,8607,17209,8.5,1540111,1487073,3027184,1.7,70463,97253,167716,-10.9
2001,Sep,8295,8290,16585,6.8,1218047,1290859,2508906,-6.8,77194,105242,182436,-9.9
2001,Oct,8475,8474,16949,4.6,1289195,1207694,2496889,-11.1,76396,122144,198540,-5.5
2001,Nov,7932,7929,15861,1.5,1168502,1152605,2321107,-8,77284,126505,203789,-5
2001,Dec,8279,8281,16560,2.6,1358784,1336375,2695159,0.2,79558,109438,188996,-2.9
2002,Jan,7921,7925,15846,-3.7,1216709,1216682,2433391,-11.5,71385,95303,166688,16.6
2002,Feb,7687,7682,15369,8.3,1328364,1309146,2637510,16.4,67339,81702,149040,-1.2
2002,Mar,8340,8348,16688,2.1,1384018,1485728,2869746,1.3,86461,125499,211960,12.4
2002,Apr,8375,8369,16744,0.6,1475597,1392442,2868039,-1,81233,115705,196938,19.5
2002,May,8509,8512,17021,1.2,1374134,1368024,2742158,2.3,84516,113675,198192,24.6
2002,Jun,8308,8302,16610,0.9,1290681,1313620,2604301,-5.4,86755,118435,205190,24.9
2002,Jul,8803,8814,17617,5.2,1466811,1485923,2952734,5.5,84937,123822,208759,28.7
2002,Aug,9162,9161,18323,6.5,1588865,1522140,3111005,2.8,83356,124275,207631,23.8
2002,Sep,8795,8798,17593,6.1,1322969,1364733,2687702,7.1,85333,132405,217738,19.4
2002,Oct,9361,9346,18707,10.4,1505215,1446619,2951834,18.2,90907,158398,249305,25.6
2002,Nov,8997,8999,17996,13.5,1354986,1331352,2686338,15.7,91908,160401,252310,23.8
2002,Dec,9097,9090,18187,9.8,1463903,1442911,2906814,7.9,89428,125639,215067,13.8
2003,Jan,9073,9073,18146,14.5,1301159,1443118,2744277,12.8,80704,117405,198108,18.8
2003,Feb,8314,8317,16631,8.2,1401770,1229888,2631658,-0.2,72053,87920,159973,7.3
2003,Mar,9049,9059,18108,8.5,1200309,1253754,2454063,-14.5,92566,143878,236444,11.6
2003,Apr,6069,6064,12133,-27.5,419307,473589,892896,-68.9,80963,122253,203216,3.2
2003,May,4316,4313,8629,-49.3,276938,279129,556067,-79.7,81695,119034,200730,1.3
2003,Jun,4755,4752,9507,-42.8,565475,567385,1132860,-56.5,82458,118915,201373,-1.9
