Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
2020,Aug,4985,5020,10005,-72,29727,54080,83807,-98.6,116601,251485,368087,-2.7
2020,Sep,5257,5287,10544,-68.4,43592,56213,99805,-97.9,127391,254658,382049,-3.8
2020,Oct,5428,5449,10877,-68.3,37562,41798,79360,-98.5,131911,267406,399316,-4.7
2020,Nov,6266,6293,12559,-61.4,39585,41416,81001,-98.4,133227,296919,430145,-2.1
2020,Dec,6330,6329,12659,-62.8,36327,54204,90531,-98.4,143169,292158,435327,0.5
2021,Jan,5689,5691,11380,-65.7,27306,43788,71094,-98.8,135346,271153,406499,15.7
2021,Feb,4250,4242,8492,-52.9,19978,27751,47729,-97.5,107927,199388,307315,24.6
2021,Mar,5318,5327,10645,-12.3,21247,36998,58245,-89.9,135094,258403,393498,5
2021,Apr,5192,5187,10379,9.9,20819,39347,60166,89.6,122195,260815,383010,14.5
2021,May,5430,5441,10871,-4.3,21383,38027,59410,58.8,128725,272562,401287,7.2
2021,Jun,5524,5522,11046,10.9,33233,50047,83280,40.7,131239,265156,396395,11.9
2021,Jul,5921,5927,11848,20,38979,72614,111593,16.2,136828,279283,416111,12.6
2021,Aug,6416,6423,12839,28.3,92438,128974,221412,164.2,136584,288706,425290,15.5
2021,Sep,6971,6960,13931,32.1,89900,135741,225641,126.1,145504,306521,452026,18.3
2021,Oct,7002,6999,14001,28.7,59353,78423,137776,73.6,150069,308257,458326,14.8
2021,Nov,7427,7445,14872,18.4,53683,65022,118705,46.5,147808,326057,473866,10.2
2021,Dec,7263,7243,14506,14.6,62348,87478,149826,65.5,158194,314441,472635,8.6
2022,Jan,6013,6004,12017,5.6,20731,49109,69840,-1.8,115713,272036,387749,-4.6
2022,Feb,4154,4176,8330,-1.9,16740,69341,86081,80.4,99746,170152,269898,-12.2
2022,Mar,4930,4941,9871,-7.3,16267,76861,93128,59.9,130181,218900,349082,-11.3
2022,Apr,5160,5155,10315,-0.6,54601,70917,125518,108.6,121777,251422,373199,-2.6
2022,May,5222,5216,10438,-4,85392,84891,170283,186.6,125666,236446,362111,-9.8
2022,Jun,5573,5601,11174,1.2,142624,153536,296160,255.6,121497,238766,360263,-9.1
2022,Jul,5761,5734,11495,-3,192100,208570,400670,259,116103,229282,345384,-17
2022,Aug,5696,5703,11399,-11.2,245401,234096,479497,116.6,112541,223608,336149,-21
2022,Sep,5836,5836,11672,-16.2,241559,283284,524843,132.6,114452,224112,338565,-25.1
2022,Oct,6296,6288,12584,-10.1,367581,388924,756505,449.1,113800,234197,347997,-24.1
2022,Nov,6827,6830,13657,-8.2,520896,521332,1042228,778,108280,242864,351144,-25.9
2022,Dec,7884,7893,15777,8.8,744832,849429,1594261,964.1,111318,236266,347584,-26.5
2023,Jan,8110,8110,16220,35,1052162,1006579,2058741,2847.8,88139,197229,285368,-26.4
2023,Feb,8156,8160,16316,95.9,1105042,1034005,2139047,2384.9,101742,186409,288151,6.8
2023,Mar,10067,10066,20133,104,1373995,1402890,2776885,2881.8,114017,255307,369324,5.8
2023,Apr,10794,10780,21574,109.2,1577831,1526816,3104647,2373.5,102458,240949,343407,-8
2023,May,11095,11105,22200,112.7,1559569,1539123,3098692,1719.7,101081,245930,347011,-4.2
2023,Jun,11173,11199,22372,100.2,1667943,1642308,3310251,1017.7,101274,250557,351831,-2.3
2023,Jul,12018,12026,24044,109.2,1873757,1933883,3807640,850.3,102760,256074,358833,3.9
2023,Aug,12526,12544,25070,119.9,2058879,1928969,3987848,731.7,102186,262340,364526,8.4
2023,Sep,12106,12095,24201,107.3,1616025,1689033,3305058,529.7,104887,268227,373114,10.2
2023,Oct,13151,13131,26282,108.9,1951725,1787925,3739650,394.3,106034,283317,389351,11.9
2023,Nov,13930,13935,27865,104,1895444,1858291,3753735,260.2,103827,308464,412291,17.4
2023,Dec,14928,14905,29833,89.1,2152490,2154778,4307268,170.2,110442,304472,414915,19.4
2024,Jan,14383,14390,28773,77.4,2097836,2024434,4122270,100.2,99574,276019,375592,31.6
2024,Feb,13803,13830,27633,69.4,2140907,2056114,4197021,96.2,90961,230300,321261,11.5
2024,Mar,14894,14931,29825,48.1,2107144,2239762,4346906,56.5,115372,310090,425462,15.2
2024,Apr,14555,14501,29056,34.7,2177207,2029966,4207173,35.5,98455,292367,390822,13.8
2024,May,14914,14942,29856,34.5,2039083,2010634,4049717,30.7,102659,311055,413714,19.2
2024,Jun,14795,14795,29590,32.3,2133500,2143500,4277000,29.2,106000,308000,414000,17.7
2024,Jul,15550,15550,31100,29.3,2356000,2396000,4752000,24.8,114000,297000,411000,14.5
2024,Aug,15803,15802,31605,26.1,2532500,2377500,4910000,23.1,105000,298000,403000,10.6
2024,Sep,14798,14797,29595,22.3,1982000,2064000,4046000,22.4,108000,303000,411000,10.2
